robot_model_ID,task_id,warnings_received,cumulative_warnings,moving_avg_warnings,task_duration,cumulative_time,moving_avg_time,total_disc_reward,cumulative_reward,moving_avg_reward,success_rate,cumulative_success,moving_avg_success
proactive_average_takeOneReasses_loyal,1,0,0.0,0.0,102.473702519,102.473702519,102.473702519,1.289292851696513,1.289292851696513,1.289292851696513,50.0,50.0,50.0
proactive_average_takeOneReasses_loyal,2,0,0.0,0.0,102.486829878,102.486829878,102.486829878,49.5974471771382,49.5974471771382,49.5974471771382,100.0,100.0,100.0
proactive_average_takeOneReasses_loyal,3,6,6.0,3.0,132.905372455,235.392202333,117.6961011665,32.982320217900664,82.57976739503886,41.28988369751943,100.0,200.0,100.0
proactive_average_takeOneReasses_loyal,4,0,6.0,2.0,84.56839997,319.960602303,106.65353410099999,51.16030622863514,133.740073623674,44.58002454122467,100.0,300.0,100.0
reactive,5,0,0.0,0.0,76.589863044,76.589863044,76.589863044,0.0,0.0,0.0,80.0,80.0,80.0
reactive,6,2,2.0,2.0,143.034904705,143.034904705,143.034904705,40.79180670064628,40.79180670064628,40.79180670064628,100.0,100.0,100.0
reactive,7,4,6.0,3.0,119.856004464,262.890909169,131.4454545845,31.122366031322443,71.91417273196873,35.95708636598437,90.0,190.0,95.0
reactive,8,9,15.0,5.0,135.54032344,398.431232609,132.81041086966667,23.63808319040078,95.55225592236951,31.85075197412317,100.0,290.0,96.66666666666667
