rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1.56501529357732E+018,1,0,18,"""ROBOT""",,1565015286,959339573,'',,1565015286,876311606,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,15.446879408392798,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501529357732E+018,1,0,19,"""ROBOT""",,1565015286,959339573,'',,1565015286,876311606,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,15.446879408392798,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501529639651E+018,1,0,20,"""ROBOT""",,1565015296,384823152,'',,1565015296,341329921,"""planning for grasping""","""MayNotBeCapable""","""MayNotBeCapable""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",-6,10.642491303894023,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501529809533E+018,1,0,21,"""ROBOT""",,1565015298,83244500,'',,1565015298,7218691,"""planning for grasping""","""MayNotBeCapable""","""MayNotBeCapable""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,10.642491303894023,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501530311773E+018,1,0,22,"""ROBOT""",,1565015303,105501594,'',,1565015299,474947664,"""planning for grasping""","""NeedsHelp""","""NeedsHelp""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,10.642491303894023,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501530485504E+018,1,0,23,"""ROBOT""",,1565015304,843422902,'',,1565015304,479513527,"""planning for grasping""","""NeedsHelp""","""NeedsHelp""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,10.642491303894023,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501530485504E+018,1,0,24,"""ROBOT""",,1565015304,843422902,'',,1565015304,479513527,"""planning for grasping""","""NeedsHelp""","""NeedsHelp""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,10.642491303894023,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501530894677E+018,1,0,25,"""ROBOT""",,1565015308,935393163,'',,1565015308,892765245,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",6,15.350791646302822,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501531061021E+018,1,0,26,"""ROBOT""",,1565015310,598783093,'',,1565015310,308585758,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,15.350791646302822,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56501531488545E+018,1,0,27,"""ROBOT""",,1565015314,873563619,'',,1565015311,983657293,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,15.350791646302822,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
