,ttype1_percentage_successful_subtasks,ttype23_percentage_successful_subtasks,ttype24_percentage_successful_subtasks,ttype25_percentage_successful_subtasks,ttype26_percentage_successful_subtasks,ttype47_percentage_successful_subtasks,ttype49_percentage_successful_subtasks
0,100.0,90.0,100.0,100.0,50.0,90.0,80.0
1,100.0,100.0,70.0,100.0,60.0,70.0,80.0
2,60.0,50.0,70.0,20.0,60.0,60.0,60.0
3,20.0,70.0,70.0,40.0,60.0,70.0,90.0
4,50.0,100.0,100.0,100.0,90.0,70.0,90.0
5,30.0,40.0,80.0,80.0,90.0,90.0,50.0
6,90.0,100.0,100.0,100.0,100.0,80.0,50.0
7,50.0,40.0,70.0,50.0,60.0,80.0,80.0
