rosbagTimestamp,stamp_obs_update,secs,nsecs,real_obs_received,mapped_observation_pomdp,mapped_observation_raw
1566830038456086177,,1566830038,448831902,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830042520594911,,1566830042,513369249,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830045700241952,,1566830045,693584541,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830047705802226,,1566830047,699335113,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830051524852046,,1566830051,510708937,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1566830054741664740,,1566830054,734570225,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830058169157787,,1566830056,137225053,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1566830059608984648,,1566830059,604289639,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1566830062138712280,,1566830062,131248716,"[0, 1, 0, 0, 1, 0, 0, 0]",6,19
1566830065722706636,,1566830065,715179749,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1566830071696301945,,1566830071,689255981,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1566830073281302126,,1566830073,273788102,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1566830074765141190,,1566830074,759260301,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830084705618865,,1566830084,698531578,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1566830086131348922,,1566830086,125289912,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1566830087554999482,,1566830087,549061217,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830089230453497,,1566830089,221103016,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830091828421868,,1566830091,821701339,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1566830094116296724,,1566830094,109825092,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830095501141994,,1566830095,494466067,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1566830097129484237,,1566830097,119435142,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830098689617668,,1566830098,662756582,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1566830101943494872,,1566830101,936561775,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1566830103378549255,,1566830103,372622236,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830105100453334,,1566830105,93318542,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830106589128298,,1566830106,582055665,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1566830110557295669,,1566830110,550607390,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1566830111957219245,,1566830111,950838153,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1566830113387037853,,1566830113,380368146,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830115108212476,,1566830115,102202316,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830119845799481,,1566830119,838674800,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830122403207286,,1566830122,396598029,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830123849674831,,1566830123,844700642,"[1, 1, 0, 0, 0, 1, 0, 0]",8,34
1566830125464525613,,1566830125,457724087,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830139018080582,,1566830139,10278683,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830140487375404,,1566830140,480555883,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830156020785828,,1566830156,9535351,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830158541845017,,1566830158,535465848,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830160569765177,,1566830160,563862479,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1566830165474243428,,1566830165,467215925,"[0, 1, 0, 0, 1, 0, 0, 0]",6,19
1566830168363410900,,1566830168,356355913,"[0, 1, 0, 0, 1, 0, 0, 0]",6,19
1566830173077421885,,1566830173,70299433,"[0, 1, 0, 1, 0, 1, 0, 3]",10,43
