task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_observables,Human Detected,Looked Around,Succesfull Grasp,Failed Grasp,Warned Robot,Stood Idle
10,1,"""OBSERVATION""",,1531923152,576938451,"[True, False, True, False, False, False]",1,0,1,0,0,0
11,1,"""OBSERVATION""",,1531923163,452053066,"[True, False, False, False, False, True]",1,0,0,0,0,1
11,2,"""OBSERVATION""",,1531923171,597980974,"[True, False, False, True, False, False]",1,0,0,1,0,0
11,3,"""OBSERVATION""",,1531923174,5584269,"[True, False, False, True, False, False]",1,0,0,1,0,0
12,1,"""OBSERVATION""",,1531923190,698195811,"[True, False, False, True, False, False]",1,0,0,1,0,0
12,2,"""OBSERVATION""",,1531923193,817487802,"[True, False, False, False, False, True]",1,0,0,0,0,1
12,3,"""OBSERVATION""",,1531923202,570528313,"[True, False, True, False, False, False]",1,0,1,0,0,0
13,1,"""OBSERVATION""",,1531923213,656767374,"[True, False, False, False, False, True]",1,0,0,0,0,1
13,2,"""OBSERVATION""",,1531923221,792085740,"[True, False, False, True, False, False]",1,0,0,1,0,0
13,3,"""OBSERVATION""",,1531923224,932789908,"[True, False, False, False, False, True]",1,0,0,0,0,1
13,4,"""OBSERVATION""",,1531923233,773561747,"[True, False, True, False, False, False]",1,0,1,0,0,0
14,1,"""OBSERVATION""",,1531923244,663217023,"[True, False, False, False, False, True]",1,0,0,0,0,1
14,2,"""OBSERVATION""",,1531923253,440800375,"[True, False, True, False, False, False]",1,0,1,0,0,0
16,1,"""OBSERVATION""",,1531923286,543638064,"[True, False, True, False, False, False]",1,0,1,0,0,0
17,1,"""OBSERVATION""",,1531923297,386091375,"[True, False, False, False, False, True]",1,0,0,0,0,1
17,2,"""OBSERVATION""",,1531923299,759373720,"[False, True, False, False, False, False]",0,1,0,0,0,0
17,3,"""OBSERVATION""",,1531923302,129405289,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,4,"""OBSERVATION""",,1531923304,527524688,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,5,"""OBSERVATION""",,1531923306,871491928,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,6,"""OBSERVATION""",,1531923309,283101336,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,7,"""OBSERVATION""",,1531923311,674641106,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,8,"""OBSERVATION""",,1531923314,76150253,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,9,"""OBSERVATION""",,1531923316,461275696,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,10,"""OBSERVATION""",,1531923318,910615470,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,11,"""OBSERVATION""",,1531923321,264141259,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,12,"""OBSERVATION""",,1531923323,630683814,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,13,"""OBSERVATION""",,1531923326,75642857,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,14,"""OBSERVATION""",,1531923328,483317544,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,15,"""OBSERVATION""",,1531923330,884447558,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,16,"""OBSERVATION""",,1531923333,291321822,"[False, False, False, False, False, False]",0,0,0,0,0,0
17,17,"""OBSERVATION""",,1531923338,530837780,"[False, False, False, False, False, False]",0,0,0,0,0,0
18,1,"""OBSERVATION""",,1531923353,700744003,"[True, False, False, False, False, True]",1,0,0,0,0,1
18,2,"""OBSERVATION""",,1531923362,448287052,"[True, False, True, False, False, False]",1,0,1,0,0,0
19,1,"""OBSERVATION""",,1531923373,292839941,"[True, False, False, False, True, False]",1,0,0,0,1,0
19,2,"""OBSERVATION""",,1531923375,680569893,"[True, False, False, False, True, False]",1,0,0,0,1,0
19,3,"""OBSERVATION""",,1531923378,271018891,"[True, False, False, False, False, True]",1,0,0,0,0,1
19,4,"""OBSERVATION""",,1531923380,682309742,"[True, False, False, False, False, True]",1,0,0,0,0,1
19,5,"""OBSERVATION""",,1531923389,478849846,"[True, False, True, False, False, False]",1,0,1,0,0,0
20,1,"""OBSERVATION""",,1531923400,382657520,"[True, False, False, False, False, True]",1,0,0,0,0,1
20,2,"""OBSERVATION""",,1531923402,752289022,"[True, False, False, False, False, True]",1,0,0,0,0,1
20,3,"""OBSERVATION""",,1531923405,156796971,"[True, False, False, False, True, False]",1,0,0,0,1,0
20,4,"""OBSERVATION""",,1531923407,751517311,"[True, False, False, False, False, True]",1,0,0,0,0,1
20,5,"""OBSERVATION""",,1531923410,182715400,"[True, False, False, False, False, True]",1,0,0,0,0,1
20,6,"""OBSERVATION""",,1531923412,614105752,"[True, False, False, False, False, True]",1,0,0,0,0,1
20,7,"""OBSERVATION""",,1531923415,33835454,"[True, False, False, False, True, False]",1,0,0,0,1,0
20,8,"""OBSERVATION""",,1531923417,645688426,"[True, False, False, False, False, True]",1,0,0,0,0,1
20,9,"""OBSERVATION""",,1531923420,73372297,"[True, False, False, False, False, True]",1,0,0,0,0,1
20,10,"""OBSERVATION""",,1531923422,498987481,"[True, False, False, False, False, True]",1,0,0,0,0,1
20,11,"""OBSERVATION""",,1531923424,906464121,"[True, False, False, False, True, False]",1,0,0,0,1,0
20,12,"""OBSERVATION""",,1531923427,495970557,"[True, False, False, False, False, True]",1,0,0,0,0,1
20,13,"""OBSERVATION""",,1531923429,924001836,"[True, False, False, False, False, True]",1,0,0,0,0,1
20,14,"""OBSERVATION""",,1531923432,327144810,"[True, False, False, False, False, True]",1,0,0,0,0,1
20,15,"""OBSERVATION""",,1531923441,313072438,"[True, False, True, False, False, False]",1,0,1,0,0,0
21,1,"""OBSERVATION""",,1531923457,990704949,"[True, False, False, True, False, False]",1,0,0,1,0,0
21,2,"""OBSERVATION""",,1531923460,379833240,"[True, False, False, True, False, False]",1,0,0,1,0,0
21,3,"""OBSERVATION""",,1531923463,533445962,"[True, False, False, False, False, True]",1,0,0,0,0,1
21,4,"""OBSERVATION""",,1531923465,950811917,"[False, True, False, False, False, False]",0,1,0,0,0,0
21,5,"""OBSERVATION""",,1531923468,357081057,"[False, True, False, False, False, False]",0,1,0,0,0,0
21,6,"""OBSERVATION""",,1531923470,761258286,"[False, True, False, False, False, False]",0,1,0,0,0,0
21,7,"""OBSERVATION""",,1531923473,165346246,"[False, False, False, False, False, False]",0,0,0,0,0,0
21,8,"""OBSERVATION""",,1531923475,567209394,"[False, False, False, False, False, False]",0,0,0,0,0,0
21,9,"""OBSERVATION""",,1531923478,21297854,"[False, False, False, False, False, False]",0,0,0,0,0,0
21,10,"""OBSERVATION""",,1531923480,445205624,"[False, False, False, False, False, False]",0,0,0,0,0,0
21,11,"""OBSERVATION""",,1531923482,858872272,"[False, False, False, False, False, False]",0,0,0,0,0,0
21,12,"""OBSERVATION""",,1531923485,352928172,"[False, False, False, False, False, False]",0,0,0,0,0,0
21,13,"""OBSERVATION""",,1531923487,828955857,"[False, False, False, False, False, False]",0,0,0,0,0,0
21,14,"""OBSERVATION""",,1531923493,327622275,"[False, False, False, False, False, False]",0,0,0,0,0,0
22,1,"""OBSERVATION""",,1531923508,443643849,"[True, False, False, False, False, True]",1,0,0,0,0,1
22,2,"""OBSERVATION""",,1531923510,805591498,"[True, False, False, False, False, True]",1,0,0,0,0,1
22,3,"""OBSERVATION""",,1531923513,215376958,"[True, False, False, False, False, True]",1,0,0,0,0,1
22,4,"""OBSERVATION""",,1531923515,633048897,"[False, True, False, False, False, False]",0,1,0,0,0,0
22,5,"""OBSERVATION""",,1531923518,23629136,"[False, False, False, False, False, False]",0,0,0,0,0,0
22,6,"""OBSERVATION""",,1531923520,405260111,"[False, False, False, False, False, False]",0,0,0,0,0,0
22,7,"""OBSERVATION""",,1531923522,791952987,"[False, False, False, False, False, False]",0,0,0,0,0,0
22,8,"""OBSERVATION""",,1531923525,204080704,"[False, False, False, False, False, False]",0,0,0,0,0,0
22,9,"""OBSERVATION""",,1531923527,610583347,"[False, False, False, False, False, False]",0,0,0,0,0,0
22,10,"""OBSERVATION""",,1531923530,29373584,"[False, False, False, False, False, False]",0,0,0,0,0,0
22,11,"""OBSERVATION""",,1531923532,397426321,"[False, False, False, False, False, False]",0,0,0,0,0,0
22,12,"""OBSERVATION""",,1531923534,818786378,"[False, False, False, False, False, False]",0,0,0,0,0,0
22,13,"""OBSERVATION""",,1531923537,205446217,"[False, False, False, False, False, False]",0,0,0,0,0,0
22,14,"""OBSERVATION""",,1531923539,629368414,"[False, False, False, False, False, False]",0,0,0,0,0,0
22,15,"""OBSERVATION""",,1531923542,79520239,"[False, False, False, False, False, False]",0,0,0,0,0,0
22,16,"""OBSERVATION""",,1531923544,510109700,"[False, False, False, False, False, False]",0,0,0,0,0,0
22,17,"""OBSERVATION""",,1531923550,851049518,"[False, False, False, False, False, False]",0,0,0,0,0,0
23,1,"""OBSERVATION""",,1531923566,9187707,"[True, False, False, False, False, True]",1,0,0,0,0,1
23,2,"""OBSERVATION""",,1531923570,389617247,"[True, True, False, False, False, True]",1,1,0,0,0,1
23,3,"""OBSERVATION""",,1531923572,799706862,"[True, False, False, False, False, False]",1,0,0,0,0,0
23,4,"""OBSERVATION""",,1531923575,186432386,"[False, False, False, False, False, False]",0,0,0,0,0,0
23,5,"""OBSERVATION""",,1531923577,583442434,"[False, False, False, False, False, False]",0,0,0,0,0,0
23,6,"""OBSERVATION""",,1531923579,966283967,"[False, False, False, False, False, False]",0,0,0,0,0,0
