rosbagTimestamp,stamp_obs_update,secs,nsecs,real_obs_received,mapped_observation_pomdp,mapped_observation_raw
1565017500037774362,,1565017500,30150786,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017502117394679,,1565017502,110511596,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017505282748662,,1565017505,275628613,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017509089055514,,1565017509,82394096,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017513638682157,,1565017513,631591718,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017515670032141,,1565017515,663447958,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017519420318279,,1565017519,413329678,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1565017521935280578,,1565017521,928316796,"[0, 1, 0, 0, 1, 0, 0, 0]",6,19
1565017524934091704,,1565017524,926665050,"[0, 1, 0, 0, 1, 0, 0, 0]",6,19
1565017527856456478,,1565017527,851213693,"[0, 1, 0, 0, 1, 0, 0, 0]",6,19
1565017531567126172,,1565017531,559814047,"[0, 1, 0, 0, 1, 0, 0, 0]",6,19
1565017533361281091,,1565017533,354337272,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565017535126193837,,1565017535,119293297,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017537939005668,,1565017537,932435577,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1565017546069773913,,1565017546,62696516,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017547482384062,,1565017547,476610259,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1565017548926815032,,1565017548,921297835,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017550524257183,,1565017550,517249369,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565017552203998619,,1565017552,196797586,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017553604348666,,1565017553,598245673,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1565017555155588959,,1565017555,147941447,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017558321028254,,1565017558,313554400,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017561455258538,,1565017561,448475234,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017563309099021,,1565017563,301993177,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565017565064847070,,1565017565,57697560,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017566721718048,,1565017566,714355221,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1565017569249056366,,1565017569,241037017,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017571479418352,,1565017571,472337630,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017573920663790,,1565017573,912962883,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1565017575419644405,,1565017575,412936193,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017577532178149,,1565017577,526240817,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565017580087804856,,1565017580,80874508,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017581502558168,,1565017581,494219378,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1565017583015372498,,1565017583,8891572,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017587226847422,,1565017587,219689788,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017588727319335,,1565017588,719266328,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565017597045317965,,1565017597,33552136,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017598444353156,,1565017598,438084300,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1565017599901248230,,1565017599,895690658,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017602013016555,,1565017602,7069436,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565017605017125360,,1565017605,9680081,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565017607467230908,,1565017607,442744330,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1565017608933271296,,1565017608,926270241,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017611826694413,,1565017611,818657298,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017613949101313,,1565017613,941204101,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017616847021951,,1565017616,839971711,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017618386119572,,1565017618,378819096,"[0, 1, 0, 0, 1, 0, 0, 0]",6,19
1565017621412958521,,1565017621,406060278,"[0, 1, 0, 0, 1, 0, 0, 0]",6,19
1565017624433012436,,1565017624,425199013,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565017627467076698,,1565017627,460573251,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017628880685376,,1565017628,874825277,"[0, 1, 0, 1, 0, 1, 0, 1]",10,43
