rosbagTimestamp,stamp_obs_update,secs,nsecs,real_obs_received,mapped_observation_pomdp,mapped_observation_raw
1564503231913933699,,1564503231,906736026,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503236908988985,,1564503236,902867379,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503238357497476,,1564503238,350643066,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503241376234500,,1564503241,369177551,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503244451364452,,1564503244,443900647,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503247273757405,,1564503247,266640804,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564503249893023068,,1564503249,886265467,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503253891736192,,1564503253,884562183,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503255913908550,,1564503255,906177019,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503258943163935,,1564503258,936682618,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503261960720699,,1564503261,954490386,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503265339180407,,1564503265,332751110,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503270041088950,,1564503270,32429090,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564503278300605684,,1564503278,294750617,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503280825378735,,1564503280,818493724,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503282333043812,,1564503282,326487584,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564503284807786237,,1564503284,800776933,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503286188649717,,1564503286,180883733,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564503287660875697,,1564503287,654131884,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503290840634124,,1564503290,835039151,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503292283429924,,1564503292,276607867,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564503293819208850,,1564503293,812474166,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503297980714046,,1564503297,974617034,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503299362333555,,1564503299,356337149,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564503300855014691,,1564503300,840550225,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503304609490491,,1564503304,602803160,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503307669439902,,1564503307,662349463,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503310593451728,,1564503310,586373637,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564503312257589996,,1564503312,250139473,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503314105543384,,1564503314,99118568,"[0, 1, 0, 0, 0, 1, 0, 3]",13,23
1564503315576678862,,1564503315,569617170,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503318292096809,,1564503318,285044735,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564503319772148393,,1564503319,764180587,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503321175793752,,1564503321,169898276,"[0, 1, 0, 0, 0, 1, 0, 3]",13,23
1564503329333609792,,1564503329,326894964,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503330729472899,,1564503330,722883811,"[0, 1, 0, 0, 0, 1, 0, 3]",13,23
1564503332250983950,,1564503332,244244817,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503333873362793,,1564503333,866699215,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503336346157349,,1564503336,340127057,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564503337802528098,,1564503337,796611258,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503340182815617,,1564503339,163258710,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564503341653039775,,1564503341,646401231,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503344980863123,,1564503344,973751906,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564503347292526917,,1564503347,285824909,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503348687910984,,1564503348,682304739,"[0, 1, 0, 0, 0, 1, 0, 3]",13,23
1564503350307699720,,1564503350,274836930,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503353293047502,,1564503353,286358673,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503355804367567,,1564503355,797572886,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564503357796560586,,1564503357,789615997,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564503360550896679,,1564503360,544091390,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503361949894777,,1564503361,943446744,"[0, 1, 0, 0, 0, 1, 0, 3]",13,23
1564503363460439959,,1564503363,453688259,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564503366156370670,,1564503366,149723947,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564503370925876031,,1564503370,918891148,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564503372314700811,,1564503372,309150694,"[0, 1, 1, 0, 0, 0, 1, 3]",11,71
