rosbagTimestamp,stamp_obs_update,secs,nsecs,real_obs_received,mapped_observation_pomdp,mapped_observation_raw
1565015250175029612,,1565015250,167735173,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565015254257040298,,1565015254,248567809,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015256149435069,,1565015256,139621507,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1565015257654743224,,1565015257,647949972,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565015261174633882,,1565015261,167362985,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565015262615130319,,1565015262,608105835,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1565015264073045237,,1565015264,67068870,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015265660879047,,1565015265,653712055,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565015268521077568,,1565015268,513886234,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1565015270975036661,,1565015270,967936266,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015273444536557,,1565015273,436564902,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565015274919393785,,1565015274,912692565,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015276325765231,,1565015276,298803260,"[0, 1, 0, 0, 0, 1, 0, 3]",13,23
1565015278076988235,,1565015278,70263242,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015279589099508,,1565015279,582707807,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565015282472935192,,1565015282,465112194,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015283848656671,,1565015283,842163697,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1565015285525380682,,1565015285,518764534,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015293601434853,,1565015293,593873867,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565015295010962276,,1565015295,1656901,"[0, 1, 1, 0, 0, 0, 0, 3]",13,23
1565015296656405330,,1565015296,413449494,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015298120499112,,1565015298,112080667,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015303137834256,,1565015303,131875261,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015304879188584,,1565015304,872318691,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565015307525941869,,1565015307,516190981,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1565015308967413597,,1565015308,961189663,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015310634261514,,1565015310,627131921,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015314909981950,,1565015314,902858380,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015316928405472,,1565015316,921092825,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565015320622279102,,1565015320,615408367,"[0, 1, 1, 0, 0, 0, 0, 3]",13,23
1565015322043916632,,1565015322,38180435,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015325511292920,,1565015325,504054240,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015329404683017,,1565015329,397964804,"[0, 1, 0, 0, 0, 1, 0, 3]",13,23
1565015333332920780,,1565015333,325817650,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015334829829038,,1565015334,822636838,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015344645885115,,1565015344,638874514,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565015346041567067,,1565015346,34556755,"[0, 1, 0, 0, 0, 1, 1, 3]",11,99
