rosbagTimestamp,stamp_obs_update,secs,nsecs,real_obs_received,mapped_observation_pomdp,mapped_observation_raw
1565189894779492032,,1565189894,772977585,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565189895881526909,,1565189895,874568476,"[0, 1, 1, 0, 0, 0, 0, 0]",0,7
1565189897909523192,,1565189897,901919799,"[0, 1, 1, 0, 0, 0, 0, 1]",0,39
1565189898955158692,,1565189898,947787088,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565189901220681908,,1565189901,212686829,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1565189905597733122,,1565189905,591979041,"[0, 1, 0, 0, 1, 0, 0, 0]",2,19
1565189905790840138,,1565189905,783124243,"[0, 1, 1, 0, 0, 0, 0, 0]",0,7
1565189907159855472,,1565189907,152832261,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565189909649761292,,1565189909,643554499,"[0, 1, 0, 0, 0, 1, 0, 1]",0,39
1565189914514668874,,1565189914,508768395,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565189917072355113,,1565189917,65451024,"[0, 1, 0, 0, 0, 1, 0, 1]",0,39
1565189917680961193,,1565189917,674019655,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565189920687881104,,1565189920,681512198,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565189925503083096,,1565189925,496559820,"[0, 1, 1, 0, 0, 0, 0, 1]",0,39
1565189928909634436,,1565189928,903558095,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1565189929083120882,,1565189929,78018591,"[0, 0, 0, 0, 1, 0, 0, 0]",3,19
1565189930275647620,,1565189930,268254492,"[0, 1, 0, 0, 1, 0, 0, 0]",2,19
1565189933872878678,,1565189933,866601731,"[0, 1, 1, 0, 0, 0, 0, 0]",0,7
1565189943278159883,,1565189942,46951357,"[0, 1, 1, 0, 0, 0, 0, 1]",0,39
1565189944395072578,,1565189943,362792396,"[0, 1, 1, 0, 0, 0, 0, 0]",0,7
1565189944530583791,,1565189944,523948029,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565189947561204256,,1565189947,554087120,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565189964119778404,,1565189964,112422406,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565189964277641131,,1565189964,270861969,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565189968938493619,,1565189967,929051782,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565189973207319787,,1565189973,200037150,"[0, 1, 0, 0, 0, 1, 0, 3]",0,23
1565189974463165533,,1565189974,455913609,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1565189978641393492,,1565189978,634044519,"[0, 1, 0, 0, 1, 0, 0, 0]",2,19
1565189985968703864,,1565189985,962128630,"[0, 1, 0, 0, 0, 1, 0, 3]",0,23
1565189994336174217,,1565189994,328837317,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565189994470280450,,1565189994,463314671,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565190010728022504,,1565190010,719461233,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565190010854749767,,1565190010,848908419,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565190014928438751,,1565190014,921656011,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565190027201704251,,1565190027,194476085,"[0, 1, 0, 1, 0, 1, 0, 0]",1,43
