task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,human_observables,Human Detected,Looked Around,Succesfull Grasp,Failed Grasp,Warned Robot,Stood Idle
9,1,"""OBSERVATION""",,1600863495,614716705,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
9,2,"""OBSERVATION""",,1600863497,804537878,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,3,"""OBSERVATION""",,1600863499,316574358,'',"[True, False, False, True, False, True]",1,0,0,1,0,1
9,4,"""OBSERVATION""",,1600863500,822612323,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,5,"""OBSERVATION""",,1600863502,294679851,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
9,6,"""OBSERVATION""",,1600863504,159556061,'',"[True, False, False, True, False, False]",1,0,0,1,0,0
9,7,"""OBSERVATION""",,1600863505,598511824,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,8,"""OBSERVATION""",,1600863507,281300670,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
9,9,"""OBSERVATION""",,1600863508,792324198,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,10,"""OBSERVATION""",,1600863510,218582047,'',"[True, False, False, True, False, True]",1,0,0,1,0,1
9,11,"""OBSERVATION""",,1600863511,789306429,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,12,"""OBSERVATION""",,1600863513,717402717,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
9,13,"""OBSERVATION""",,1600863515,288224021,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,14,"""OBSERVATION""",,1600863516,683478622,'',"[True, False, False, True, False, True]",1,0,0,1,0,1
9,15,"""OBSERVATION""",,1600863532,40831177,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,16,"""OBSERVATION""",,1600863533,518456814,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,17,"""OBSERVATION""",,1600863542,488026518,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,18,"""OBSERVATION""",,1600863543,961410541,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,19,"""OBSERVATION""",,1600863557,449699575,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,20,"""OBSERVATION""",,1600863558,955487286,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,21,"""OBSERVATION""",,1600863561,941279359,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,22,"""OBSERVATION""",,1600863564,983494613,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,23,"""OBSERVATION""",,1600863568,27868423,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,24,"""OBSERVATION""",,1600863581,472068019,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,25,"""OBSERVATION""",,1600863583,26683629,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,26,"""OBSERVATION""",,1600863585,951623052,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,27,"""OBSERVATION""",,1600863593,519409152,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,28,"""OBSERVATION""",,1600863594,978556698,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,29,"""OBSERVATION""",,1600863597,982650955,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,30,"""OBSERVATION""",,1600863600,964146879,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,31,"""OBSERVATION""",,1600863604,48681930,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,32,"""OBSERVATION""",,1600863607,43712123,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,33,"""OBSERVATION""",,1600863610,51296224,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,34,"""OBSERVATION""",,1600863623,450632016,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,35,"""OBSERVATION""",,1600863624,927698961,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,36,"""OBSERVATION""",,1600863627,931784595,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,37,"""OBSERVATION""",,1600863630,941207089,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,38,"""OBSERVATION""",,1600863633,983969794,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,39,"""OBSERVATION""",,1600863647,842330248,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,40,"""OBSERVATION""",,1600863649,315919316,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,41,"""OBSERVATION""",,1600863652,388906959,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,42,"""OBSERVATION""",,1600863655,407135566,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,43,"""OBSERVATION""",,1600863664,513165884,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
