rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1600865679618187948,15,1,1,"""ROBOT""",,1600865679,599545111,'',,1600865677,774066642,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""average_takeOneReasses_loyal.pomdpx""",0.0,0.0,"[3.3088381262508974e-20, 0.8373709917068481, 8.225563420566112e-17, 6.200914716013639e-27, 0.16262900829315186, 1.4614444641251248e-27, 3.0403922381041365e-14, 5.419622749962082e-19]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600865681018581998,15,1,2,"""ROBOT""",,1600865680,998998253,'',,1600865680,983459517,"""planning for grasping""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""average_takeOneReasses_loyal.pomdpx""",0.0,0.0,"[3.3088381262508974e-20, 0.8373709917068481, 8.225563420566112e-17, 6.200914716013639e-27, 0.16262900829315186, 1.4614444641251248e-27, 3.0403922381041365e-14, 5.419622749962082e-19]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600865684406439944,15,1,3,"""ROBOT""",,1600865684,392893515,'',,1600865684,374555510,"""planning for grasping""","""MayBeTired""","""HumanDoingOk""",False,0,'',[],'',[],0,0,"""average_takeOneReasses_loyal.pomdpx""",0.0,0.0,"[3.3088381262508974e-20, 0.8373709917068481, 8.225563420566112e-17, 6.200914716013639e-27, 0.16262900829315186, 1.4614444641251248e-27, 3.0403922381041365e-14, 5.419622749962082e-19]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600865685868322612,15,1,4,"""ROBOT""",,1600865685,857183611,'',,1600865685,836834293,"""planning for grasping""","""NotWantHelp""","""MayBeTired""",False,0,'',[],'',[],0,0,"""average_takeOneReasses_loyal.pomdpx""",0.0,0.0,"[3.3088381262508974e-20, 0.8373709917068481, 8.225563420566112e-17, 6.200914716013639e-27, 0.16262900829315186, 1.4614444641251248e-27, 3.0403922381041365e-14, 5.419622749962082e-19]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600865688028610117,15,2,5,"""ROBOT""",,1600865688,16445204,'',,1600865687,593543035,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""average_takeOneReasses_loyal.pomdpx""",6,5.88,"[3.3088381262508974e-20, 0.8373709917068481, 8.225563420566112e-17, 6.200914716013639e-27, 0.16262900829315186, 1.4614444641251248e-27, 3.0403922381041365e-14, 5.419622749962082e-19]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600865689883980470,15,2,6,"""ROBOT""",,1600865689,871712903,'',,1600865689,398174604,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""average_takeOneReasses_loyal.pomdpx""",0.0,5.88,"[3.3088381262508974e-20, 0.8373709917068481, 8.225563420566112e-17, 6.200914716013639e-27, 0.16262900829315186, 1.4614444641251248e-27, 3.0403922381041365e-14, 5.419622749962082e-19]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600865689883980470,15,2,7,"""ROBOT""",,1600865689,871712903,'',,1600865689,398174604,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""average_takeOneReasses_loyal.pomdpx""",0.0,5.88,"[3.3088381262508974e-20, 0.8373709917068481, 8.225563420566112e-17, 6.200914716013639e-27, 0.16262900829315186, 1.4614444641251248e-27, 3.0403922381041365e-14, 5.419622749962082e-19]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600865692738215818,15,3,8,"""ROBOT""",,1600865692,726345987,'',,1600865692,668578937,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""average_takeOneReasses_loyal.pomdpx""",6,11.3035247808,"[3.3088381262508974e-20, 0.8373709917068481, 8.225563420566112e-17, 6.200914716013639e-27, 0.16262900829315186, 1.4614444641251248e-27, 3.0403922381041365e-14, 5.419622749962082e-19]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600865694398911133,15,3,9,"""ROBOT""",,1600865694,387434015,'',,1600865694,106721811,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""average_takeOneReasses_loyal.pomdpx""",0.0,11.3035247808,"[3.3088381262508974e-20, 0.8373709917068481, 8.225563420566112e-17, 6.200914716013639e-27, 0.16262900829315186, 1.4614444641251248e-27, 3.0403922381041365e-14, 5.419622749962082e-19]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600865696414125654,15,3,10,"""ROBOT""",,1600865696,402158899,'',,1600865695,758753089,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""average_takeOneReasses_loyal.pomdpx""",0.0,11.3035247808,"[3.3088381262508974e-20, 0.8373709917068481, 8.225563420566112e-17, 6.200914716013639e-27, 0.16262900829315186, 1.4614444641251248e-27, 3.0403922381041365e-14, 5.419622749962082e-19]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
