rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1584374743650988811,14,1,1,"""ROBOT""",,1584374743,632942368,'',,1584374743,517454200,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""quick_takeOneReasses_reckless.pomdpx""",0.0,0.0,"[1.935104410222266e-05, 1.0455101673301215e-08, 2.107780802942816e-22, 0.999980628490448, 7.432910398286197e-10, 1.8262401993471068e-29, 1.6246774636892967e-14, 5.866308827595645e-11]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1584374745025772630,14,1,2,"""ROBOT""",,1584374745,8009474,'',,1584374744,988407703,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""quick_takeOneReasses_reckless.pomdpx""",0.0,0.0,"[1.935104410222266e-05, 1.0455101673301215e-08, 2.107780802942816e-22, 0.999980628490448, 7.432910398286197e-10, 1.8262401993471068e-29, 1.6246774636892967e-14, 5.866308827595645e-11]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1584374746655577543,14,2,3,"""ROBOT""",,1584374746,643987374,'',,1584374746,368786535,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""quick_takeOneReasses_reckless.pomdpx""",6,5.423524780799999,"[1.935104410222266e-05, 1.0455101673301215e-08, 2.107780802942816e-22, 0.999980628490448, 7.432910398286197e-10, 1.8262401993471068e-29, 1.6246774636892967e-14, 5.866308827595645e-11]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1584374748209221666,14,2,4,"""ROBOT""",,1584374748,197280805,'',,1584374748,2731975,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""quick_takeOneReasses_reckless.pomdpx""",0.0,5.423524780799999,"[1.935104410222266e-05, 1.0455101673301215e-08, 2.107780802942816e-22, 0.999980628490448, 7.432910398286197e-10, 1.8262401993471068e-29, 1.6246774636892967e-14, 5.866308827595645e-11]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1584374749703507495,14,2,5,"""ROBOT""",,1584374749,693070219,'',,1584374749,583829953,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""quick_takeOneReasses_reckless.pomdpx""",0.0,5.423524780799999,"[1.935104410222266e-05, 1.0455101673301215e-08, 2.107780802942816e-22, 0.999980628490448, 7.432910398286197e-10, 1.8262401993471068e-29, 1.6246774636892967e-14, 5.866308827595645e-11]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1584374749703507495,14,2,6,"""ROBOT""",,1584374749,693070219,'',,1584374749,583829953,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""quick_takeOneReasses_reckless.pomdpx""",0.0,5.423524780799999,"[1.935104410222266e-05, 1.0455101673301215e-08, 2.107780802942816e-22, 0.999980628490448, 7.432910398286197e-10, 1.8262401993471068e-29, 1.6246774636892967e-14, 5.866308827595645e-11]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1584374752768460627,14,3,7,"""ROBOT""",,1584374752,756500991,'',,1584374752,482076025,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""quick_takeOneReasses_reckless.pomdpx""",6,10.738579065983998,"[1.935104410222266e-05, 1.0455101673301215e-08, 2.107780802942816e-22, 0.999980628490448, 7.432910398286197e-10, 1.8262401993471068e-29, 1.6246774636892967e-14, 5.866308827595645e-11]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1584374754299039805,14,3,8,"""ROBOT""",,1584374754,287762513,'',,1584374754,145999614,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""quick_takeOneReasses_reckless.pomdpx""",0.0,10.738579065983998,"[1.935104410222266e-05, 1.0455101673301215e-08, 2.107780802942816e-22, 0.999980628490448, 7.432910398286197e-10, 1.8262401993471068e-29, 1.6246774636892967e-14, 5.866308827595645e-11]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1584374755841703722,14,3,9,"""ROBOT""",,1584374755,824733272,'',,1584374755,668155102,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""quick_takeOneReasses_reckless.pomdpx""",0.0,10.738579065983998,"[1.935104410222266e-05, 1.0455101673301215e-08, 2.107780802942816e-22, 0.999980628490448, 7.432910398286197e-10, 1.8262401993471068e-29, 1.6246774636892967e-14, 5.866308827595645e-11]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1584374755841703722,14,3,10,"""ROBOT""",,1584374755,824733272,'',,1584374755,668155102,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""quick_takeOneReasses_reckless.pomdpx""",0.0,10.738579065983998,"[1.935104410222266e-05, 1.0455101673301215e-08, 2.107780802942816e-22, 0.999980628490448, 7.432910398286197e-10, 1.8262401993471068e-29, 1.6246774636892967e-14, 5.866308827595645e-11]",,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
