rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1.58341624066225E+018,12,1,1,"""ROBOT""",,1583416611,637745028,'',,1583416240,612829113,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""slow_takeOneReasses_loyal.pomdpx""",0.0,0.0,"[0.999933660030365, 9.081779382344446e-13, 2.0397954613841217e-17, 6.631990981986746e-05, 2.6147607230282814e-24, 1.3605007942464538e-27, 1.2513682750875822e-14, 4.736441239217015e-10]",,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.58341624066225E+018,12,1,1,"""ROBOT""",,1583416611,637745028,'',,1583416240,612829113,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""slow_takeOneReasses_loyal.pomdpx""",6,5.315054285183999,"[0.999933660030365, 9.081779382344446e-13, 2.0397954613841217e-17, 6.631990981986746e-05, 2.6147607230282814e-24, 1.3605007942464538e-27, 1.2513682750875822e-14, 4.736441239217015e-10]",,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.5834166161614E+018,12,2,2,"""ROBOT""",,1583416616,151349238,'',,1583416613,654192355,"""grasp""","""WarningReceived""","""TaskHuman""",False,0,'',[],'',[],0,0,"""quick_takeOver_reckless.pomdpx""",-3.0,2.315054285183999,"[0.216641366481781, 1.9728709985122883e-11, 1.2157617333944601e-18, 0.783358633518219, 5.848744302817468e-18, 9.351326844917974e-28, 9.82763024605371e-13, 4.535227055013635e-11]",,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.58341661938302E+018,12,2,3,"""ROBOT""",,1583416619,362844227,'',,1583416617,515496956,"""grasp""","""WarningReceived""","""WarningReceived""",True,0,'',[],'',[],0,0,"""quick_takeOver_reckless.pomdpx""",-3.0,-0.4520501948160005,"[0.216641366481781, 1.9728709985122883e-11, 1.2157617333944601e-18, 0.783358633518219, 5.848744302817468e-18, 9.351326844917974e-28, 9.82763024605371e-13, 4.535227055013635e-11]",,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.58341661938302E+018,12,2,3,"""ROBOT""",,1583416619,362844227,'',,1583416617,515496956,"""grasp""","""WarningReceived""","""WarningReceived""",True,0,'',[],'',[],0,0,"""quick_takeOver_reckless.pomdpx""",6,3.6353455506233514,"[0.216641366481781, 1.9728709985122883e-11, 1.2157617333944601e-18, 0.783358633518219, 5.848744302817468e-18, 9.351326844917974e-28, 9.82763024605371e-13, 4.535227055013635e-11]",,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.58341663597908E+018,12,3,4,"""ROBOT""",,1583416635,964533877,'',,1583416635,852291202,"""grasp""","""NeedsHelp""","""WarningReceived""",False,0,'',[],'',[],0,0,"""quick_takeOver_reckless.pomdpx""",0.0,3.6353455506233514,"[0.216641366481781, 1.9728709985122883e-11, 1.2157617333944601e-18, 0.783358633518219, 5.848744302817468e-18, 9.351326844917974e-28, 9.82763024605371e-13, 4.535227055013635e-11]",,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.58341663866275E+018,12,3,5,"""ROBOT""",,1583416638,652123567,'',,1583416638,613520023,"""grasp""","""WarningReceived""","""NeedsHelp""",False,0,'',[],'',[],0,0,"""quick_takeOver_reckless.pomdpx""",-3.0,0.8117695506233518,"[0.216641366481781, 1.9728709985122883e-11, 1.2157617333944601e-18, 0.783358633518219, 5.848744302817468e-18, 9.351326844917974e-28, 9.82763024605371e-13, 4.535227055013635e-11]",,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.58341664096303E+018,12,3,6,"""ROBOT""",,1583416640,953264192,'',,1583416640,824494620,"""grasp""","""WarningReceived""","""WarningReceived""",True,0,'',[],'',[],0,0,"""quick_takeOver_reckless.pomdpx""",-3.0,-1.899992839776648,"[0.216641366481781, 1.9728709985122883e-11, 1.2157617333944601e-18, 0.783358633518219, 5.848744302817468e-18, 9.351326844917974e-28, 9.82763024605371e-13, 4.535227055013635e-11]",,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.58341664246617E+018,12,3,7,"""ROBOT""",,1583416642,456126220,'',,1583416642,342957764,"""grasp""","""WarningReceived""","""WarningReceived""",True,0,'',[],'',[],0,0,"""quick_takeOver_reckless.pomdpx""",-3.0,-4.5043694395168075,"[0.216641366481781, 1.9728709985122883e-11, 1.2157617333944601e-18, 0.783358633518219, 5.848744302817468e-18, 9.351326844917974e-28, 9.82763024605371e-13, 4.535227055013635e-11]",,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.58341664246617E+018,12,3,7,"""ROBOT""",,1583416642,456126220,'',,1583416642,342957764,"""grasp""","""WarningReceived""","""WarningReceived""",True,0,'',[],'',[],0,0,"""quick_takeOver_reckless.pomdpx""",6,-0.24843884243293335,"[0.216641366481781, 1.9728709985122883e-11, 1.2157617333944601e-18, 0.783358633518219, 5.848744302817468e-18, 9.351326844917974e-28, 9.82763024605371e-13, 4.535227055013635e-11]",,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
