rosbagTimestamp,task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.53622098602758E+018,1,0,"""ROBOT""",,1536220986,24894445,'',,1536220986,20182497,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""policy5.pomdpx""",'','',"[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53622098605367E+018,1,1,"""ROBOT""",,1536220986,52655347,'',,1536220986,20182497,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""policy5.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53622098948945E+018,1,2,"""ROBOT""",,1536220989,488385456,'',,1536220989,272949586,"""planning for grasping""","""TaskHuman""","""MayBeTired""",False,0,'','',[],'','',"""policy5.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.5362209929491E+018,1,3,"""ROBOT""",,1536220992,947816178,'',,1536220992,916244571,"""idle""","""TaskHuman""","""MayBeTired""",False,0,'','',[],'','',"""policy5.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53622099643029E+018,1,4,"""ROBOT""",,1536220996,429201168,'',,1536220996,254285217,"""grasp""","""NeedsHelp""","""MayBeTired""",False,0,'','',[],'','',"""policy5.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53622099953692E+018,1,5,"""ROBOT""",,1536220999,535823887,'',,1536220999,327859721,"""grasp""","""NeedsHelp""","""MayBeTired""",False,0,'','',[],'','',"""policy5.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53622100311358E+018,1,6,"""ROBOT""",,1536221003,112385034,'',,1536221003,10988053,"""grasp""","""NeedsHelp""","""MayBeTired""",False,0,'','',[],'','',"""policy5.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53622100655275E+018,1,7,"""ROBOT""",,1536221006,551592241,'',,1536221006,370137463,"""grasp""","""NeedsHelp""","""MayBeTired""",False,0,'','',[],'','',"""policy5.pomdpx""","""0""","""0""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53622101005824E+018,1,8,"""ROBOT""",,1536221010,57004692,'',,1536221010,33473458,"""idle""","""GlobalSuccess""","""GlobalSuccess""",True,0,'','',[],'','',"""policy5.pomdpx""","""6""","""5.20875""","[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]"
1.53622102461911E+018,2,0,"""ROBOT""",,1536221024,616638647,'',,1536221024,614369206,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""policy6.pomdpx""","""6""","""5.20875""","[0.1655883640050888, 1.0297719654772663e-06, 1.0297719654772663e-06, 1.0297719654772663e-06, 1.0297719654772663e-06, 0.1521097868680954, 0.08571023494005203, 0.08571023494005203, 0.30636706948280334, 0.2045101821422577]"
1.53622102463793E+018,2,1,"""ROBOT""",,1536221024,636755319,'',,1536221024,614369206,"""idle""","""TaskHuman""","""MayBeTired""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.1655883640050888, 1.0297719654772663e-06, 1.0297719654772663e-06, 1.0297719654772663e-06, 1.0297719654772663e-06, 0.1521097868680954, 0.08571023494005203, 0.08571023494005203, 0.30636706948280334, 0.2045101821422577]"
1.53622103120523E+018,2,2,"""ROBOT""",,1536221031,203946791,'',,1536221031,24064848,"""planning for grasping""","""NoFocus""","""NoNeedHelp""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.1655883640050888, 1.0297719654772663e-06, 1.0297719654772663e-06, 1.0297719654772663e-06, 1.0297719654772663e-06, 0.1521097868680954, 0.08571023494005203, 0.08571023494005203, 0.30636706948280334, 0.2045101821422577]"
1.53622103893143E+018,2,3,"""ROBOT""",,1536221038,930456393,'',,1536221034,685625928,"""grasp""","""NeedsHelp""","""NoNeedHelp""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.1655883640050888, 1.0297719654772663e-06, 1.0297719654772663e-06, 1.0297719654772663e-06, 1.0297719654772663e-06, 0.1521097868680954, 0.08571023494005203, 0.08571023494005203, 0.30636706948280334, 0.2045101821422577]"
1.5362210428769E+018,2,4,"""ROBOT""",,1536221042,875711284,'',,1536221042,852509259,"""idle""","""MayBeTired""","""NoNeedHelp""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.1655883640050888, 1.0297719654772663e-06, 1.0297719654772663e-06, 1.0297719654772663e-06, 1.0297719654772663e-06, 0.1521097868680954, 0.08571023494005203, 0.08571023494005203, 0.30636706948280334, 0.2045101821422577]"
1.5362210465409E+018,2,5,"""ROBOT""",,1536221046,539603194,'',,1536221046,320982482,"""grasp""","""NeedsHelp""","""NoNeedHelp""",False,0,'','',[],'','',"""policy6.pomdpx""","""0""","""0""","[0.1655883640050888, 1.0297719654772663e-06, 1.0297719654772663e-06, 1.0297719654772663e-06, 1.0297719654772663e-06, 0.1521097868680954, 0.08571023494005203, 0.08571023494005203, 0.30636706948280334, 0.2045101821422577]"
1.53622105020233E+018,2,6,"""ROBOT""",,1536221050,201230176,'',,1536221050,2445577,"""planning for grasping""","""MayBeTired""","""GlobalSuccess""",False,0,'','',[],'','',"""policy6.pomdpx""","""6""","""5.42352""","[0.1655883640050888, 1.0297719654772663e-06, 1.0297719654772663e-06, 1.0297719654772663e-06, 1.0297719654772663e-06, 0.1521097868680954, 0.08571023494005203, 0.08571023494005203, 0.30636706948280334, 0.2045101821422577]"
1.5362210638537E+018,3,0,"""ROBOT""",,1536221063,851388635,'',,1536221063,848352270,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""policy11.pomdpx""","""6""","""5.42352""","[2.879233136354742e-07, 2.6461429550902853e-14, 2.6461429550902853e-14, 2.6461429550902853e-14, 1.6803007553065075e-12, 3.908673384955819e-09, 2.202444226995226e-09, 2.202444226995226e-09, 0.9999993443489075, 3.8062484009060427e-07]"
1.5362210638713E+018,3,1,"""ROBOT""",,1536221063,870085375,'',,1536221063,848352270,"""idle""","""TaskHuman""","""MayBeTired""",False,0,'','',[],'','',"""policy11.pomdpx""","""0""","""0""","[2.879233136354742e-07, 2.6461429550902853e-14, 2.6461429550902853e-14, 2.6461429550902853e-14, 1.6803007553065075e-12, 3.908673384955819e-09, 2.202444226995226e-09, 2.202444226995226e-09, 0.9999993443489075, 3.8062484009060427e-07]"
1.53622107061597E+018,3,2,"""ROBOT""",,1536221070,614149397,'',,1536221070,340337753,"""planning for grasping""","""NoFocus""","""MayBeTired""",False,0,'','',[],'','',"""policy11.pomdpx""","""0""","""0""","[2.879233136354742e-07, 2.6461429550902853e-14, 2.6461429550902853e-14, 2.6461429550902853e-14, 1.6803007553065075e-12, 3.908673384955819e-09, 2.202444226995226e-09, 2.202444226995226e-09, 0.9999993443489075, 3.8062484009060427e-07]"
1.53622107797213E+018,3,3,"""ROBOT""",,1536221077,970845265,'',,1536221073,838061000,"""grasp""","""NeedsHelp""","""MayBeTired""",False,0,'','',[],'','',"""policy11.pomdpx""","""0""","""0""","[2.879233136354742e-07, 2.6461429550902853e-14, 2.6461429550902853e-14, 2.6461429550902853e-14, 1.6803007553065075e-12, 3.908673384955819e-09, 2.202444226995226e-09, 2.202444226995226e-09, 0.9999993443489075, 3.8062484009060427e-07]"
1.53622108144876E+018,3,4,"""ROBOT""",,1536221081,447551779,'',,1536221081,290138832,"""grasp""","""NeedsHelp""","""MayBeTired""",False,0,'','',[],'','',"""policy11.pomdpx""","""0""","""0""","[2.879233136354742e-07, 2.6461429550902853e-14, 2.6461429550902853e-14, 2.6461429550902853e-14, 1.6803007553065075e-12, 3.908673384955819e-09, 2.202444226995226e-09, 2.202444226995226e-09, 0.9999993443489075, 3.8062484009060427e-07]"
1.53622108508676E+018,3,5,"""ROBOT""",,1536221085,85724413,'',,1536221084,859547603,"""grasp""","""NeedsHelp""","""MayBeTired""",False,0,'','',[],'','',"""policy11.pomdpx""","""0""","""0""","[2.879233136354742e-07, 2.6461429550902853e-14, 2.6461429550902853e-14, 2.6461429550902853e-14, 1.6803007553065075e-12, 3.908673384955819e-09, 2.202444226995226e-09, 2.202444226995226e-09, 0.9999993443489075, 3.8062484009060427e-07]"
1.53622108900468E+018,3,6,"""ROBOT""",,1536221089,3369925,'',,1536221088,868831928,"""grasp""","""NeedsHelp""","""GlobalSuccess""",False,0,'','',[],'','',"""policy11.pomdpx""","""6""","""5.42352""","[2.879233136354742e-07, 2.6461429550902853e-14, 2.6461429550902853e-14, 2.6461429550902853e-14, 1.6803007553065075e-12, 3.908673384955819e-09, 2.202444226995226e-09, 2.202444226995226e-09, 0.9999993443489075, 3.8062484009060427e-07]"
1.53622110337399E+018,4,0,"""ROBOT""",,1536221103,371850896,'',,1536221103,369117156,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""policy8.pomdpx""","""6""","""5.42352""","[3.249870860599913e-05, 4.038929780902922e-12, 9.402230885947448e-15, 9.402230885947448e-15, 5.970416760807395e-13, 1.0059049060373582e-07, 7.825688430607158e-10, 7.825688430607158e-10, 0.3553180992603302, 0.6446493268013]"
1.53622110339154E+018,4,1,"""ROBOT""",,1536221103,390438583,'',,1536221103,369117156,"""idle""","""TaskHuman""","""MayBeTired""",False,0,'','',[],'','',"""policy8.pomdpx""","""0""","""0""","[3.249870860599913e-05, 4.038929780902922e-12, 9.402230885947448e-15, 9.402230885947448e-15, 5.970416760807395e-13, 1.0059049060373582e-07, 7.825688430607158e-10, 7.825688430607158e-10, 0.3553180992603302, 0.6446493268013]"
1.53622110974785E+018,4,2,"""ROBOT""",,1536221109,746637272,'',,1536221109,571692498,"""planning for grasping""","""NoFocus""","""NoNeedHelp""",False,0,'','',[],'','',"""policy8.pomdpx""","""0""","""0""","[3.249870860599913e-05, 4.038929780902922e-12, 9.402230885947448e-15, 9.402230885947448e-15, 5.970416760807395e-13, 1.0059049060373582e-07, 7.825688430607158e-10, 7.825688430607158e-10, 0.3553180992603302, 0.6446493268013]"
1.53622111724978E+018,4,3,"""ROBOT""",,1536221117,248602557,'',,1536221113,47634095,"""point to remind""","""NoFocus""","""NeedsHelp""",False,0,'','',[],'','',"""policy8.pomdpx""","""0""","""0""","[3.249870860599913e-05, 4.038929780902922e-12, 9.402230885947448e-15, 9.402230885947448e-15, 5.970416760807395e-13, 1.0059049060373582e-07, 7.825688430607158e-10, 7.825688430607158e-10, 0.3553180992603302, 0.6446493268013]"
1.53622112491639E+018,4,4,"""ROBOT""",,1536221124,915148839,'',,1536221120,748086256,"""grasp""","""NeedsHelp""","""NeedsHelp""",True,0,'','',[],'','',"""policy8.pomdpx""","""0""","""0""","[3.249870860599913e-05, 4.038929780902922e-12, 9.402230885947448e-15, 9.402230885947448e-15, 5.970416760807395e-13, 1.0059049060373582e-07, 7.825688430607158e-10, 7.825688430607158e-10, 0.3553180992603302, 0.6446493268013]"
1.53622112889509E+018,4,5,"""ROBOT""",,1536221128,892831622,'',,1536221128,574468893,"""point to remind""","""GlobalSuccess""","""MayBeTired""",False,0,'','',[],'','',"""policy8.pomdpx""","""0""","""0""","[3.249870860599913e-05, 4.038929780902922e-12, 9.402230885947448e-15, 9.402230885947448e-15, 5.970416760807395e-13, 1.0059049060373582e-07, 7.825688430607158e-10, 7.825688430607158e-10, 0.3553180992603302, 0.6446493268013]"
