task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_observables,Human Detected,Looked Around,Succesfull Grasp,Failed Grasp,Warned Robot,Stood Idle
16,9,"""OBSERVATION""",,1532995045,143366331,"[True, False, True, False, False, False]",1,0,1,0,0,0
17,1,"""OBSERVATION""",,1532995065,230030655,"[True, False, True, False, False, False]",1,0,1,0,0,0
18,1,"""OBSERVATION""",,1532995078,446191076,"[True, True, False, False, False, True]",1,1,0,0,0,1
18,2,"""OBSERVATION""",,1532995080,813932871,"[True, True, False, False, False, True]",1,1,0,0,0,1
18,3,"""OBSERVATION""",,1532995083,187353376,"[True, True, False, False, False, True]",1,1,0,0,0,1
18,4,"""OBSERVATION""",,1532995086,96245457,"[True, False, False, False, False, True]",1,0,0,0,0,1
18,5,"""OBSERVATION""",,1532995088,510104444,"[True, False, False, False, False, True]",1,0,0,0,0,1
18,6,"""OBSERVATION""",,1532995090,920918232,"[True, False, False, False, False, True]",1,0,0,0,0,1
18,7,"""OBSERVATION""",,1532995093,359919344,"[True, False, False, False, False, True]",1,0,0,0,0,1
18,8,"""OBSERVATION""",,1532995095,782655440,"[True, False, False, False, False, True]",1,0,0,0,0,1
18,9,"""OBSERVATION""",,1532995100,227001045,"[True, True, False, False, False, True]",1,1,0,0,0,1
18,10,"""OBSERVATION""",,1532995102,662661209,"[True, True, False, False, False, True]",1,1,0,0,0,1
18,11,"""OBSERVATION""",,1532995105,581304754,"[True, False, False, False, False, True]",1,0,0,0,0,1
18,12,"""OBSERVATION""",,1532995110,8280357,"[True, True, False, False, False, True]",1,1,0,0,0,1
18,13,"""OBSERVATION""",,1532995112,440366479,"[True, True, False, False, False, True]",1,1,0,0,0,1
19,0,"""OBSERVATION""",,1532995127,771591428,"[True, True, False, False, False, True]",1,1,0,0,0,1
19,1,"""OBSERVATION""",,1532995130,126278068,"[True, True, False, False, False, True]",1,1,0,0,0,1
19,2,"""OBSERVATION""",,1532995139,402479157,"[True, False, True, False, False, False]",1,0,1,0,0,0
20,1,"""OBSERVATION""",,1532995156,977225737,"[True, False, True, False, False, False]",1,0,1,0,0,0
21,1,"""OBSERVATION""",,1532995174,527420355,"[True, False, True, False, False, False]",1,0,1,0,0,0
22,1,"""OBSERVATION""",,1532995192,92926769,"[True, False, True, False, False, False]",1,0,1,0,0,0
23,1,"""OBSERVATION""",,1532995209,613808167,"[True, False, True, False, False, False]",1,0,1,0,0,0
24,1,"""OBSERVATION""",,1532995227,217324159,"[True, False, True, False, False, False]",1,0,1,0,0,0
