rosbagTimestamp,stamp_obs_update,secs,nsecs,real_obs_received,mapped_observation_pomdp,mapped_observation_raw
1564489319186896922,,1564489319,179706250,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564489320790437166,,1564489320,783613795,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489322579568264,,1564489322,567966056,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564489324023908618,,1564489324,18229093,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489325466325241,,1564489325,459349975,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564489327841763170,,1564489327,834925633,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489329241146013,,1564489329,235575970,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564489330858424383,,1564489330,851844534,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489332331098696,,1564489332,324667844,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564489335012340213,,1564489335,5920421,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489336417251702,,1564489336,411781807,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564489337841699816,,1564489337,836196705,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564489340256121214,,1564489340,249632963,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564489341788402339,,1564489341,781485624,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489343209524143,,1564489343,203739152,"[0, 1, 0, 0, 0, 1, 0, 3]",13,23
1564489344836310690,,1564489344,830001192,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489348874748094,,1564489348,868390202,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489351523261892,,1564489351,516981921,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564489353023915211,,1564489353,17399491,"[0, 1, 0, 0, 1, 0, 0, 0]",6,19
1564489357967104039,,1564489357,960055384,"[0, 1, 0, 0, 0, 1, 0, 3]",13,23
1564489366089833725,,1564489366,84066484,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564489367476579528,,1564489367,470506861,"[0, 1, 1, 0, 0, 0, 0, 3]",13,23
1564489368905978628,,1564489368,899565741,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489372780267721,,1564489372,773454051,"[0, 1, 0, 0, 1, 0, 0, 0]",6,19
1564489375584657362,,1564489375,577940109,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489382261955378,,1564489382,256082151,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564489383657462156,,1564489383,651850526,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1564489385116504890,,1564489385,111924651,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489388175802481,,1564489388,168083217,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489389691143322,,1564489389,683871741,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564489391668824689,,1564489391,662273768,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489393443810984,,1564489393,437618570,"[0, 1, 0, 0, 0, 1, 0, 3]",13,23
1564489394947027571,,1564489394,940216462,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489397996740279,,1564489397,989362567,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489417122735304,,1564489417,115981800,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489421032119997,,1564489421,25354960,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489423210631807,,1564489423,203462251,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564489426212968996,,1564489426,206194751,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564489427762428898,,1564489427,755822257,"[0, 1, 0, 0, 1, 0, 0, 0]",6,19
1564489429717883044,,1564489429,711324841,"[0, 1, 0, 0, 0, 1, 1, 3]",11,99
