rosbagTimestamp,stamp_obs_update,secs,nsecs,real_obs_received,mapped_observation_pomdp,mapped_observation_raw
1564505382390305918,,1564505382,382691689,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564505383737989527,,1564505383,732002697,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1564505387183381876,,1564505387,179367983,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505388693930687,,1564505388,687129719,"[0, 0, 0, 0, 0, 1, 0, 0]",9,35
1564505390081259889,,1564505390,74069285,"[0, 0, 0, 0, 0, 1, 0, 1]",12,39
1564505391510966697,,1564505391,505579413,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505393017348402,,1564505393,10101081,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564505394487228820,,1564505394,480301654,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505396374633314,,1564505396,367176420,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564505397920097822,,1564505397,913329020,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505399447333284,,1564505399,440296534,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564505400938465220,,1564505400,933058741,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505402330008460,,1564505402,324015736,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564505404001573639,,1564505403,993849516,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505407001035378,,1564505406,994014156,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505410588685188,,1564505410,581978092,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505412037476427,,1564505412,30612730,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564505413560196867,,1564505413,552156032,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505414959576763,,1564505414,953024066,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564505416399687391,,1564505416,392588649,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564505418830284430,,1564505418,823058780,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505420253336375,,1564505420,236606314,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564505421903655602,,1564505421,896783343,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505430278564164,,1564505430,271635393,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505431818828898,,1564505431,811463205,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564505433925034515,,1564505433,917977616,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505435321731758,,1564505435,315410087,"[0, 1, 0, 0, 0, 1, 0, 3]",13,23
1564505437334935341,,1564505437,328146211,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564505438793836387,,1564505438,786623548,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505440193180283,,1564505440,186880301,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564505442074289355,,1564505442,67822329,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505443622607739,,1564505443,615736445,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564505445108476088,,1564505445,102401007,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505446506695503,,1564505446,500534844,"[0, 1, 0, 0, 0, 1, 0, 3]",13,23
1564505448124532557,,1564505448,117556478,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505452151346664,,1564505452,143697452,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505455002537166,,1564505454,995571039,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564505456510975012,,1564505456,503715841,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564505457925773745,,1564505457,912719064,"[0, 1, 0, 1, 0, 1, 0, 3]",10,43
