robot_model_ID,task_id,warnings_received,cumulative_warnings,moving_avg_warnings,task_duration,cumulative_time,moving_avg_time,total_disc_reward,cumulative_reward,moving_avg_reward,success_rate,cumulative_success,moving_avg_success,humans_contribution,human_success_rate
proactive_average_takeOneReasses_loyal,1,0,0.0,0.0,92.387476338,92.387476338,92.387476338,19.757714157799562,19.757714157799562,19.757714157799562,70.0,70.0,70.0,100.0,70.0
proactive_average_takeOneReasses_loyal,2,0,0.0,0.0,131.08206259,131.08206259,131.08206259,47.47736435844833,47.47736435844833,47.47736435844833,100.0,100.0,100.0,70.0,100.0
proactive_average_takeOneReasses_loyal,3,0,0.0,0.0,117.882345688,248.964408278,124.482204139,48.140574504088654,95.61793886253699,47.808969431268494,100.0,200.0,100.0,70.0,100.0
proactive_average_takeOneReasses_loyal,4,0,0.0,0.0,155.875539372,404.83994765,134.94664921666666,45.060915337911524,140.6788542004485,46.89295140014951,100.0,300.0,100.0,70.0,100.0
reactive,6,7,7.0,7.0,132.877908568,132.877908568,132.877908568,7.921079106379618,7.921079106379618,7.921079106379618,80.0,80.0,80.0,62.5,71.42857142857143
reactive,7,4,11.0,5.5,163.213242807,296.091151375,148.0455756875,4.851102807859587,12.772181914239205,6.3860909571196025,70.0,150.0,75.0,57.14285714285714,57.14285714285714
reactive,8,5,16.0,5.333333333333333,120.071725297,416.162876672,138.72095889066665,27.826374150013944,40.598556064253145,13.532852021417716,90.0,240.0,80.0,66.66666666666666,85.71428571428571
