task_id,total_disc_reward,overall_est_accur,warnings_received
1,5.88,100,0
2,5.7624,100,0
3,5.7624,100,0
4,5.7624,100,0
5,5.88,100,0
6,5.88,100,0
7,5.7624,100,0
8,5.88,50,0
9,-5.53534,83.3333333333,1
10,5.53421,100,0
11,5.88,100,0
12,-0.270114,57.1428571429,2
13,5.64715,50,0
14,5.64715,100,0
15,2.76595,25,1
16,-5.7,42.8571428571,1
17,5.88,100,0
18,5.42352,80,0
19,5.64715,75,0
20,-5.70478,20,1
21,5.64715,75,0
22,5.7624,66.6666666667,0
23,-0.170567,20,2
24,-5.47887,50,1
25,5.7624,100,0
26,5.53421,75,0
27,5.64715,100,0
28,5.64715,66.6666666667,0
29,-5.59068,50,1
30,5.64715,66.6666666667,0
31,-2.65753,83.3333333333,0
32,-8.13639,50,2
33,5.53421,60,0
34,5.53421,100,0
35,-5.59068,25,1
36,-2.82358,75,0
37,-5.59068,25,1
38,-2.7671,50,0
39,-5.70478,25,1
40,-5.53534,80,1
,,,
,,help needed est:,0.333
