task_id,total_disc_reward,overall_est_accur,warnings_received
1,5.88,100,0
2,5.88,100,0
3,5.88,100,0
4,5.88,100,0
5,5.88,100,0
6,5.88,80,0
7,5.88,100,0
8,5.88,100,0
9,5.88,100,0
10,5.88,100,0
11,5.88,100,0
12,-5.68757,66.6666666667,1
13,-2.94,50,0
14,5.4,100,0
15,5.88,100,0
16,5.2,100,0
17,-3,100,0
18,3.857868,66.6666666667,0
19,4.7628,75,0
20,4.28652,100,0
21,-2.14326,20,0
22,5.292,33.3333333333,0
23,4.7628,50,0
24,5.88,50,0
25,4.28652,60,0
26,5.88,100,0
27,-1.7874873333,33.3333333333,0
28,0,60,0
29,4.7628,50,0
30,-2.997,100,0
31,4.7628,66.6666666667,0
32,5.3791,100,0
33,0,33.3333333333,0
34,5.88,100,0
35,4.28652,100,0
36,-2.056,80,0
37,-2.14326,40,0
38,3.2589,57.1428571429,0
39,5.88,50,0
40,5.292,66.6666666667,0
,,,
,,total_est_accuracy,77.2202380952
,,avg. reward,3.4229012667
,,help_est_accr,82.3529411765
,,total warnings received,1
