task_id,total_disc_reward,overall_est_accur,warnings_received
1,5.88,100,0
2,5.88,100,0
3,5.64715,100,0
4,5.88,100,0
5,5.64715,100,0
6,5.88,100,0
7,5.7624,100,0
8,5.88,100,0
9,5.64715,100,0
10,5.88,100,0
11,5.88,100,0
12,5.88,100,0
13,4.50116,83.3333333333,1
14,5.88,100,0
15,-2.71176,33.3333333333,0
16,5.7624,100,0
17,5.7624,66.6666666667,0
18,5.42352,66.6666666667,0
19,5.88,100,0
20,5.88,100,0
21,5.64715,75,0
22,5.53421,60,0
23,5.64715,100,0
24,5.7624,100,0
25,5.53421,40,0
26,5.88,100,0
27,5.88,100,0
28,5.64715,25,0
29,5.7624,100,0
30,5.88,100,0
31,-2.71176,20,0
32,-5.30739,71.4285714286,1
33,5.7624,66.6666666667,0
34,5.88,50,0
35,5.64715,100,0
36,5.53421,25,0
37,-2.7671,20,0
38,5.64715,25,0
39,-2.7671,0,0
40,5.53421,80,0
,,,
,,,
,,Needs Est.,0.636
