task_id,init_secs,init_nsecs,fin_secs,fin_nsecs,time_took,task_status,who_succeeded
65,1535824862,35476224,1535824915,603628390,53.24886608123779,"""SUCCESS""","""robot"""
66,1535824926,273275655,1535824979,170901415,52.89762568473816,"""FAIL""",''
67,1535824994,178510284,1535825030,603858729,36.42534852027893,"""SUCCESS""","""robot"""
68,1535825043,206456628,1535825095,870849041,52.66439247131348,"""SUCCESS""","""robot"""
69,1535825110,591282283,1535825163,170892576,52.579610109329224,"""FAIL""",''
70,1535825178,176097122,1535825185,604209116,7.428112030029297,"""SUCCESS""","""human"""
71,1535825200,710023990,1535825255,603687816,54.89366388320923,"""SUCCESS""","""robot"""
72,1535825268,826665159,1535825297,603980740,28.777315616607666,"""SUCCESS""","""human"""
73,1535825313,446969913,1535825366,402791927,52.9558219909668,"""FAIL""",''
74,1535825378,678254854,1535825394,604077504,15.925822734832764,"""SUCCESS""","""human"""
75,1535825410,354370051,1535825417,604103750,7.2497336864471436,"""SUCCESS""","""human"""
76,1535825432,886352834,1535825486,603797280,53.71744441986084,"""SUCCESS""","""robot"""
77,1535825496,375742299,1535825548,820800813,52.44505858421326,"""SUCCESS""","""robot"""
78,1535825563,629909417,1535825616,354275837,52.724366426467896,"""SUCCESS""","""robot"""
79,1535825631,494267491,1535825684,119508088,52.62524056434631,"""SUCCESS""","""human"""
80,1535825696,176403991,1535825749,37612599,53.19972205162048,"""FAIL""",''
81,1535825763,825069303,1535825804,604137378,40.77906823158264,"""SUCCESS""","""robot"""
82,1535825821,567160310,1535825843,603821589,22.03666114807129,"""SUCCESS""","""robot"""
83,1535825856,150461410,1535825897,603930229,41.453468799591064,"""SUCCESS""","""robot"""
84,1535825919,603613576,1535825950,603865650,31.00025200843811,"""SUCCESS""","""robot"""
85,1535825966,569974791,1535825995,603743989,29.033769130706787,"""SUCCESS""","""robot"""
86,1535826008,614873918,1535826052,603819330,43.98894548416138,"""SUCCESS""","""robot"""
87,1535826077,836980983,1535826108,603732720,30.766751766204834,"""SUCCESS""","""robot"""
88,1535826124,711846345,1535826131,603990241,6.892143964767456,"""SUCCESS""","""human"""
89,1535826147,343700249,1535826174,603796404,27.260096311569214,"""SUCCESS""","""robot"""
90,1535826186,782152560,1535826220,603699991,33.82154726982117,"""SUCCESS""","""robot"""
91,1535826234,373025762,1535826287,419439007,53.04641342163086,"""SUCCESS""","""robot"""
92,1535826307,665663017,1535826323,604068239,15.938405275344849,"""SUCCESS""","""human"""
93,1535826338,412271334,1535826345,604033213,7.1917619705200195,"""SUCCESS""","""human"""
94,1535826360,704496561,1535826387,604034462,26.899537801742554,"""SUCCESS""","""human"""
95,1535826402,820997365,1535826439,603803850,36.782806396484375,"""SUCCESS""","""robot"""
96,1535826452,76200014,1535826466,603923543,13.841923475265503,"""SUCCESS""","""human"""
97,1535826482,812389653,1535826587,986508976,105.17411947250366,"""FAIL""",''
98,1535826600,74828238,1535826607,604084610,6.855802059173584,"""SUCCESS""","""human"""
99,1535826622,596582397,1535826675,287519338,52.69093704223633,"""SUCCESS""","""robot"""
100,1535826694,822914550,1535826735,603709586,40.780795097351074,"""SUCCESS""","""robot"""
