rosbagTimestamp,stamp_obs_update,secs,nsecs,real_obs_received,mapped_observation_pomdp,mapped_observation_raw
1565195896562591035,,1565195896,556033351,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565195899936409837,,1565195899,928461278,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565195902451893139,,1565195902,446036334,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1565195906413656932,,1565195906,406409952,"[0, 1, 0, 0, 1, 0, 0, 0]",2,19
1565195908714992879,,1565195907,703610945,"[0, 1, 1, 0, 0, 0, 0, 0]",0,7
1565195908986584436,,1565195908,978527339,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565195909943641834,,1565195909,936320862,"[0, 1, 0, 0, 0, 1, 0, 1]",0,39
1565195913251963872,,1565195913,245002736,"[0, 1, 1, 0, 0, 0, 0, 1]",0,39
1565195916515765856,,1565195916,509468458,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565195916665169694,,1565195916,657821001,"[0, 1, 1, 0, 0, 0, 0, 0]",0,7
1565195917924807011,,1565195917,917127126,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565195920258198720,,1565195920,248104790,"[0, 1, 0, 0, 0, 1, 0, 1]",0,39
1565195924648124447,,1565195924,637461534,"[0, 1, 0, 0, 0, 1, 0, 3]",2,23
1565195939210855480,,1565195938,175505717,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565195939359220382,,1565195939,352441986,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565195946534019814,,1565195946,527340840,"[0, 1, 1, 0, 0, 0, 0, 0]",0,7
1565195946648112022,,1565195946,641750072,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565195950274468954,,1565195950,267255661,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565195953309233379,,1565195953,301529673,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565195954891622396,,1565195954,882018434,"[0, 1, 1, 0, 0, 0, 0, 1]",0,39
1565195969772738562,,1565195969,766304212,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565195969889287707,,1565195969,884013448,"[0, 1, 1, 0, 0, 0, 0, 0]",0,7
1565195971307204735,,1565195971,300299549,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565195973835245675,,1565195973,824185056,"[0, 1, 0, 0, 0, 1, 0, 3]",0,23
1565195974470337385,,1565195974,466275526,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565195977538387100,,1565195977,530491905,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565195981274657277,,1565195981,267518328,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565195984296170121,,1565195984,288606727,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565195987333751079,,1565195987,327335649,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1565195989942677666,,1565195989,935335872,"[0, 1, 0, 0, 1, 0, 0, 0]",2,19
1565195997567635319,,1565195997,560633974,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565195997617881536,,1565195997,611699904,"[0, 1, 0, 0, 0, 1, 0, 1]",0,39
1565196001721204564,,1565196001,714220114,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565196002189011297,,1565196002,172730058,"[0, 1, 0, 1, 0, 1, 0, 3]",1,43
