rosbagTimestamp,stamp_obs_update,secs,nsecs,real_obs_received,mapped_observation_pomdp,mapped_observation_raw
1564487616851362992,,1564487616,844841719,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1564487619788688367,,1564487619,782675280,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1564487627242048626,,1564487627,235050747,"[0, 1, 1, 0, 0, 0, 0, 1]",0,39
1564487628641146995,,1564487628,634593881,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1564487631683000250,,1564487631,676265051,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1564487640481435805,,1564487640,474026627,"[0, 1, 0, 0, 0, 1, 0, 1]",0,39
1564487641191549698,,1564487641,185172690,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1564487644677476076,,1564487644,671014923,"[0, 1, 1, 0, 0, 0, 0, 0]",2,7
1564487650418273693,,1564487650,411249048,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1564487652059094088,,1564487652,53159355,"[0, 1, 0, 0, 1, 0, 0, 1]",0,39
1564487653421708078,,1564487653,417009966,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1564487653943530429,,1564487653,936663034,"[0, 1, 0, 0, 0, 1, 0, 0]",3,35
1564487666828208613,,1564487666,821367907,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1564487669324336269,,1564487669,318760541,"[0, 1, 0, 0, 0, 1, 0, 1]",0,39
1564487669467924275,,1564487669,461116495,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1564487671675010352,,1564487671,668714576,"[0, 1, 1, 0, 0, 0, 0, 0]",0,7
1564487674647525706,,1564487674,640787138,"[0, 1, 1, 0, 0, 0, 0, 0]",2,7
1564487676099133392,,1564487676,92493316,"[0, 1, 0, 0, 0, 1, 0, 3]",0,23
1564487677043167082,,1564487677,36889402,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1564487680043620574,,1564487680,37095017,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1564487682101329066,,1564487682,94513500,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1564487682276517729,,1564487682,271630054,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1564487685363211931,,1564487685,356413815,"[0, 1, 0, 0, 1, 0, 0, 0]",2,19
1564487687959228140,,1564487687,953200128,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1564487690441623986,,1564487690,434558955,"[0, 1, 1, 0, 0, 0, 0, 0]",2,7
1564487695423881513,,1564487695,417043924,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1564487695966596847,,1564487695,959731180,"[0, 1, 0, 0, 1, 0, 0, 3]",2,23
1564487698438060496,,1564487698,430779698,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1564487700354048594,,1564487700,347415902,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1564487707471070117,,1564487707,464909799,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1564487707751922776,,1564487707,745627763,"[0, 1, 0, 0, 0, 1, 0, 3]",2,23
1564487710544381818,,1564487710,537823997,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1564487717858573103,,1564487717,851684195,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1564487733312945554,,1564487733,307529762,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1564487733473667098,,1564487733,466881270,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1564487736257526068,,1564487736,251707867,"[0, 1, 1, 0, 0, 0, 0, 0]",2,7
1564487743448556160,,1564487743,441718308,"[0, 1, 0, 0, 0, 1, 0, 3]",0,23
1564487743513087193,,1564487743,506695873,"[0, 1, 0, 0, 0, 1, 1, 3]",5,99
