robot_model_ID,task_id,warnings_received,cumulative_warnings,moving_avg_warnings,task_duration,cumulative_time,moving_avg_time,total_disc_reward,cumulative_reward,moving_avg_reward,success_rate,cumulative_success,moving_avg_success
proactive_average_takeOneReasses_loyal,1,0,0.0,0.0,95.294662809,95.294662809,95.294662809,2.190258870642781,2.190258870642781,2.190258870642781,50.0,50.0,50.0
proactive_average_takeOneReasses_loyal,2,9,9.0,9.0,173.444128233,173.444128233,173.444128233,7.797428669257186,7.797428669257186,7.797428669257186,70.0,70.0,70.0
proactive_average_takeOneReasses_loyal,3,4,13.0,6.5,163.673625555,337.11775378799996,168.55887689399998,34.88922443847019,42.68665310772737,21.343326553863687,100.0,170.0,85.0
proactive_average_takeOneReasses_loyal,4,4,17.0,5.666666666666667,90.887295624,428.00504941199995,142.66834980399997,19.07971196519715,61.76636507292452,20.58878835764151,80.0,250.0,83.33333333333333
reactive,6,19,19.0,19.0,140.295984478,140.295984478,140.295984478,-40.588814228061935,-40.588814228061935,-40.588814228061935,60.0,60.0,60.0
reactive,7,13,32.0,16.0,147.946897531,288.242882009,144.1214410045,-9.607162610321305,-50.19597683838324,-25.09798841919162,80.0,140.0,70.0
reactive,8,24,56.0,18.666666666666668,179.876027093,468.11890910200003,156.03963636733334,-39.814188955372295,-90.01016579375553,-30.003388597918512,70.0,210.0,70.0
