rosbagTimestamp,stamp_obs_update,secs,nsecs,real_obs_received,mapped_observation_pomdp,mapped_observation_raw
1565360080533783255,,1565360080,526229865,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565360082796193891,,1565360082,789174289,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565360086718411124,,1565360086,710900426,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1565360090429222655,,1565360090,422440866,"[0, 1, 1, 0, 0, 0, 0, 0]",2,7
1565360093380493273,,1565360093,374482668,"[0, 1, 1, 0, 0, 0, 0, 1]",0,39
1565360098846870493,,1565360098,839636857,"[0, 1, 1, 0, 0, 0, 0, 0]",2,7
1565360099575492645,,1565360099,567213733,"[0, 1, 0, 0, 0, 1, 0, 1]",0,39
1565360102828125894,,1565360102,822647251,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1565360108385470267,,1565360108,378315484,"[0, 1, 1, 0, 0, 0, 0, 0]",2,7
1565360109681302321,,1565360109,673663484,"[0, 1, 1, 0, 0, 0, 0, 1]",0,39
1565360113154654414,,1565360113,143343798,"[0, 1, 0, 0, 0, 1, 0, 1]",0,39
1565360114655134804,,1565360114,647900176,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565360118066721106,,1565360118,60257474,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565360128777201015,,1565360128,770811054,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565360128978155990,,1565360128,971612573,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565360138346489775,,1565360138,341691594,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1565360141037249334,,1565360141,30354109,"[0, 1, 1, 0, 0, 0, 0, 0]",2,7
1565360150101713405,,1565360150,94382131,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565360151595258452,,1565360151,588471449,"[0, 1, 1, 0, 0, 0, 0, 0]",2,7
1565360154877540126,,1565360154,871491553,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1565360156305361996,,1565360156,298606361,"[0, 1, 1, 0, 0, 0, 0, 0]",2,7
1565360159175345746,,1565360159,168135029,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565360159619623035,,1565360159,614362130,"[0, 1, 0, 0, 0, 1, 0, 3]",2,23
1565360167531382223,,1565360167,523867126,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565360168787119976,,1565360168,780070226,"[0, 1, 1, 0, 0, 0, 0, 0]",2,7
1565360171263539899,,1565360171,256433556,"[0, 1, 1, 0, 0, 0, 0, 1]",0,39
1565360172634311329,,1565360172,627215260,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565360179827930896,,1565360179,819576663,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565360194897880450,,1565360194,890885688,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565360195083545330,,1565360195,76835040,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565360198053682100,,1565360198,47127379,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565360199955891616,,1565360199,948779868,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1565360200887464604,,1565360200,880496507,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565360203846558057,,1565360203,839952576,"[0, 1, 1, 0, 0, 0, 0, 0]",0,7
1565360207454997482,,1565360207,447248658,"[0, 1, 0, 0, 0, 1, 0, 3]",2,23
1565360211608261136,,1565360211,601787401,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565360214660539242,,1565360214,655040271,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565360230879983202,,1565360230,872965248,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565360231006178792,,1565360231,1119464,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1565360234102130618,,1565360234,95646969,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1565360245365517149,,1565360245,358667004,"[0, 1, 1, 1, 0, 0, 0, 0]",1,15
