task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,human_observables,Human Detected,Looked Around,Succesfull Grasp,Failed Grasp,Warned Robot,Stood Idle
12,1,"""OBSERVATION""",,1584634838,479311427,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
12,2,"""OBSERVATION""",,1584634840,254261297,'',"[True, False, False, True, False, False]",1,0,0,1,0,0
12,3,"""OBSERVATION""",,1584634841,683457589,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,4,"""OBSERVATION""",,1584634843,871043668,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,5,"""OBSERVATION""",,1584634845,407142424,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
12,6,"""OBSERVATION""",,1584634848,829848744,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,7,"""OBSERVATION""",,1584634850,252013615,'',"[True, False, False, True, False, True]",1,0,0,1,0,1
12,8,"""OBSERVATION""",,1584634851,916979404,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,9,"""OBSERVATION""",,1584634854,910909500,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,10,"""OBSERVATION""",,1584634856,744141765,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
12,11,"""OBSERVATION""",,1584634859,213732151,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,12,"""OBSERVATION""",,1584634860,627490832,'',"[True, False, False, True, False, True]",1,0,0,1,0,1
12,13,"""OBSERVATION""",,1584634862,234241067,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,14,"""OBSERVATION""",,1584634865,202070814,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,15,"""OBSERVATION""",,1584634867,555309110,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
12,16,"""OBSERVATION""",,1584634870,596690679,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
12,17,"""OBSERVATION""",,1584634872,148475237,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,18,"""OBSERVATION""",,1584634873,715934867,'',"[True, False, False, True, False, True]",1,0,0,1,0,1
12,19,"""OBSERVATION""",,1584634875,221179536,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,20,"""OBSERVATION""",,1584634877,518533154,'',"[True, False, False, False, True, False]",1,0,0,0,1,0
12,21,"""OBSERVATION""",,1584634885,893834697,'',"[True, False, False, False, True, False]",1,0,0,0,1,0
12,22,"""OBSERVATION""",,1584634892,63922294,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,23,"""OBSERVATION""",,1584634893,489901773,'',"[True, False, False, True, False, True]",1,0,0,1,0,1
12,24,"""OBSERVATION""",,1584634895,88172014,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,25,"""OBSERVATION""",,1584634898,561177120,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
12,26,"""OBSERVATION""",,1584634900,31871257,'',"[True, False, False, False, True, False]",1,0,0,0,1,0
12,27,"""OBSERVATION""",,1584634902,91322258,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
12,28,"""OBSERVATION""",,1584634910,312437026,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,29,"""OBSERVATION""",,1584634911,720919007,'',"[True, False, False, True, False, True]",1,0,0,1,0,1
12,30,"""OBSERVATION""",,1584634913,298434833,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,31,"""OBSERVATION""",,1584634916,348224025,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,32,"""OBSERVATION""",,1584634919,275081779,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,33,"""OBSERVATION""",,1584634922,343026160,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,34,"""OBSERVATION""",,1584634936,935822849,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,35,"""OBSERVATION""",,1584634938,447752404,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,36,"""OBSERVATION""",,1584634954,95920705,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,37,"""OBSERVATION""",,1584634955,592446804,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,38,"""OBSERVATION""",,1584634958,578911973,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,39,"""OBSERVATION""",,1584634972,470778462,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,40,"""OBSERVATION""",,1584634973,988892622,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
12,41,"""OBSERVATION""",,1584634987,976025442,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
