rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward
1.5358227952968E+018,2,2,"""ROBOT""",,1535822795,295588320,'',,1535822794,814722946,"""planning for grasping""","""NoFocus""","""MayBeTired""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582279843751E+018,2,2,"""OBSERVATION""",,1535822798,436094110,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','',''
1.53582279971942E+018,2,2,"""HUMAN""",,1535822799,717156036,"""distracted_collaborative.POMDPx""",,1535822796,371119377,"""1""","""Tired""","""Tired""",True,0,'','',[],'','','','',''
1.53582279973312E+018,2,3,"""ROBOT""",,1535822799,732086790,'',,1535822799,700067501,"""idle""","""TaskHuman""","""TaskHuman""",True,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582280305414E+018,2,3,"""OBSERVATION""",,1535822803,52742036,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','',''
1.53582280452204E+018,2,3,"""HUMAN""",,1535822804,519776304,"""distracted_collaborative.POMDPx""",,1535822800,810868018,"""1""","""Evaluating""","""Evaluating""",True,0,'','',[],'','','','',''
1.53582280452764E+018,2,4,"""ROBOT""",,1535822804,526467282,'',,1535822804,313461585,"""planning for grasping""","""MayBeTired""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582280828772E+018,2,4,"""OBSERVATION""",,1535822808,286063550,'',,0,0,'','','',False,0,"""LA","""LA","[True, True, False, False, False, True]","""ONGOING""",'','','',''
1.5358228098662E+018,2,4,"""HUMAN""",,1535822809,864192154,"""distracted_collaborative.POMDPx""",,1535822805,584581817,"""1""","""NoAttention""","""NoAttention""",True,0,'','',[],'','','','',''
1.5358228098741E+018,2,5,"""ROBOT""",,1535822809,873018193,'',,1535822809,554067372,"""grasp""","""NeedsToBeReminded""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582281327065E+018,2,5,"""OBSERVATION""",,1535822813,269377366,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','',''
1.53582281470537E+018,2,5,"""HUMAN""",,1535822814,703136933,"""distracted_collaborative.POMDPx""",,1535822810,952778858,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','',''
1.53582281471082E+018,2,6,"""ROBOT""",,1535822814,709738725,'',,1535822814,568174050,"""planning for grasping""","""MayBeTired""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
1.53582281708741E+018,2,6,"""OBSERVATION""",,1535822817,85992380,'',,0,0,'','','',False,0,"""LA","""LA","[True, False, False, False, False, True]","""ONGOING""",'','','',''
1.53582281853058E+018,2,6,"""HUMAN""",,1535822818,528262073,"""distracted_collaborative.POMDPx""",,1535822815,760661825,"""2""","""RobotInterfered""","""RobotInterfered""",True,0,'','',[],'','','','',''
1.53582281853586E+018,2,7,"""ROBOT""",,1535822818,534979927,'',,1535822818,341721662,"""grasp""","""NeedsHelp""","""NoFocus""",False,0,'','',[],'','',"""base.pomdpx""","""0""","""0"""
