rosbagTimestamp,stamp_obs_update,secs,nsecs,real_obs_received,mapped_observation_pomdp,mapped_observation_raw
1564422957123976643,,1564422957,116959758,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1564422959060031413,,1564422959,55280767,"[0, 1, 1, 0, 0, 0, 0, 0]",0,7
1564422961437874467,,1564422961,432276887,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1564422962755678301,,1564422962,749860427,"[0, 1, 0, 0, 0, 1, 0, 1]",0,39
1564422965654706733,,1564422965,647282792,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1564422966023129542,,1564422966,14943883,"[0, 0, 0, 0, 1, 0, 0, 0]",3,19
1564422966215987740,,1564422966,208990539,"[0, 0, 0, 0, 0, 1, 0, 0]",3,19
1564422966624035604,,1564422966,620503433,"[0, 1, 0, 0, 0, 1, 0, 0]",3,35
1564422966828606875,,1564422966,823547748,"[0, 1, 0, 0, 1, 0, 0, 0]",2,19
1564422969564683259,,1564422969,557465843,"[0, 1, 1, 0, 0, 0, 0, 0]",0,7
1564422974516939145,,1564422974,509939070,"[0, 1, 1, 0, 0, 0, 0, 1]",0,39
1564422978753228532,,1564422978,747605962,"[0, 1, 1, 0, 0, 0, 0, 0]",2,7
1564422981084253653,,1564422981,77247616,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1564422981142378631,,1564422981,135831676,"[0, 1, 0, 0, 1, 0, 0, 1]",0,39
1564422984340855842,,1564422984,334286887,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1564422984953406059,,1564422984,946455466,"[0, 1, 1, 0, 0, 0, 0, 0]",0,7
1564422989581526010,,1564422989,575285028,"[0, 1, 1, 0, 0, 0, 0, 1]",0,39
1564422990844197653,,1564422990,837487583,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1564422993625868782,,1564422993,619446306,"[0, 1, 1, 0, 0, 0, 0, 0]",2,7
1564422996212739626,,1564422996,206373402,"[0, 1, 1, 0, 0, 0, 0, 1]",0,39
1564422996402075369,,1564422996,395282355,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1564422999466435748,,1564422999,458665355,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1564423007088823335,,1564423007,81866261,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1564423007281890544,,1564423007,275148030,"[0, 1, 0, 0, 1, 0, 0, 0]",2,19
1564423007590395988,,1564423007,577832930,"[0, 0, 0, 0, 1, 0, 0, 0]",3,19
1564423007783455020,,1564423007,776217346,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1564423008571228345,,1564423008,564138700,"[0, 0, 0, 0, 0, 1, 0, 0]",0,35
1564423009670343952,,1564423009,663284369,"[1, 0, 0, 0, 0, 1, 0, 0]",2,32
1564423010002915209,,1564423009,996227777,"[0, 0, 0, 0, 0, 1, 0, 0]",0,32
1564423010357584638,,1564423010,350752691,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1564423010641956006,,1564423010,635332196,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1564423011895764573,,1564423011,889153814,"[0, 1, 1, 0, 0, 0, 0, 0]",2,7
1564423016265736841,,1564423016,258783707,"[0, 1, 0, 0, 0, 1, 0, 1]",0,39
1564423020376830798,,1564423020,370426915,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1564423035975941407,,1564423035,970124247,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1564423036441386090,,1564423036,436517646,"[0, 1, 1, 0, 0, 0, 0, 0]",0,7
1564423039070916605,,1564423039,63934147,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1564423039843345104,,1564423039,834160743,"[0, 1, 0, 0, 0, 1, 0, 1]",0,39
1564423042937566467,,1564423042,933873551,"[0, 1, 0, 0, 1, 0, 0, 0]",3,19
1564423044713232759,,1564423044,706389963,"[0, 1, 0, 0, 0, 1, 0, 0]",2,35
1564423045439065479,,1564423045,432913761,"[0, 1, 1, 0, 0, 0, 0, 0]",0,7
1564423045575182471,,1564423045,570672795,"[0, 1, 0, 0, 1, 0, 0, 0]",2,19
1564423046768073230,,1564423046,760951513,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1564423048323559437,,1564423048,316999676,"[0, 1, 1, 0, 0, 0, 0, 0]",2,7
1564423058091119144,,1564423051,608340317,"[0, 1, 1, 0, 0, 0, 0, 1]",0,39
1564423058174446064,,1564423058,168204955,"[0, 0, 0, 0, 0, 1, 0, 0]",0,39
1564423058259814549,,1564423058,255134692,"[0, 1, 0, 0, 0, 1, 0, 0]",0,35
1564423060303379900,,1564423060,296612877,"[0, 1, 1, 0, 0, 0, 0, 0]",2,7
1564423062813493392,,1564423062,806983354,"[0, 1, 1, 1, 0, 0, 0, 1]",1,15
